event_type,event_cause,requires_road_closure,police_station,zone,corridor,latitude,longitude,priority
1,14,False,39,8,19,13.0400041,77.5180991,1.0
1,14,False,15,8,12,12.9218755,77.6451585,1.0
1,6,False,51,1,11,12.955622,77.5857083,0.0
1,13,True,43,8,11,13.0061469,77.5794348,0.0
1,14,False,51,8,11,12.95398,77.5852333,0.0
1,2,False,18,4,11,13.0664854,77.5998755,0.0
1,14,False,31,8,11,12.9328703,77.4879814,0.0
1,6,False,11,8,11,12.973175,77.6003961,0.0
0,10,False,11,8,5,12.97883573,77.59953728,1.0
1,14,False,19,8,11,13.0373543,77.6540442,0.0
1,16,False,28,8,13,13.0008457,77.6813712,1.0
1,14,False,6,8,16,12.94457,77.5274017,1.0
1,16,False,35,8,13,12.9995223,77.6827499,1.0
1,6,False,18,4,14,13.0418933,77.594705,1.0
1,7,False,16,8,18,12.975285,77.6256902,1.0
1,6,False,32,8,3,13.0633917,77.5933483,1.0
1,6,False,32,8,3,13.063425,77.5933,1.0
1,6,False,19,8,14,13.0254527,77.6417388,1.0
1,13,False,24,8,11,12.9233517,77.5904883,0.0
1,14,False,43,8,2,13.0001393,77.5840594,1.0
1,14,False,33,8,7,12.9071221,77.6286395,1.0
1,13,True,24,8,11,12.927375,77.5806883,0.0
1,7,False,24,6,11,12.9169074,77.5950955,0.0
1,7,False,25,8,20,12.9667047,77.6615983,0.0
1,16,False,50,8,11,12.8966387,77.7202071,0.0
1,13,True,51,8,11,12.9463911,77.597326,0.0
1,7,False,45,8,20,12.9856042,77.5977438,1.0
1,14,False,37,8,1,12.9077383,77.6005709,1.0
1,7,False,14,8,20,12.9635109,77.6642122,0.0
1,7,False,25,8,20,12.9667073,77.6615616,0.0
1,7,False,25,8,11,12.9666867,77.6616478,0.0
1,14,True,37,8,1,12.907814,77.6006561,1.0
1,14,False,22,8,1,12.8955737,77.5993711,1.0
1,13,False,24,8,11,12.92757,77.5832051,0.0
1,3,False,32,8,15,13.044697,77.5828546,1.0
1,7,False,25,8,20,12.9666885,77.6616396,0.0
1,14,False,34,8,9,12.9789228,77.5644032,1.0
1,2,False,13,8,11,12.8636494,77.6725849,0.0
1,14,False,37,8,1,12.9219483,77.6002467,1.0
1,7,False,25,8,20,12.9666597,77.661556,0.0
0,4,False,14,8,12,12.946469,77.6986754,1.0
1,6,True,20,8,2,12.9936273,77.5844677,1.0
1,14,False,14,8,12,12.9465079,77.6986339,1.0
1,14,False,8,8,11,13.0467058,77.5036495,0.0
1,14,False,39,9,11,13.0166142,77.5054464,0.0
0,4,True,27,8,11,13.0085677,77.6131497,0.0
1,14,False,53,8,19,13.0309717,77.5364661,1.0
1,6,False,53,8,19,13.0262806,77.5442344,1.0
1,13,False,20,8,2,12.9938639,77.5844374,1.0
1,14,False,5,8,12,12.9188682,77.6687736,1.0
1,3,False,25,8,8,12.9546127,77.6423399,1.0
1,14,False,6,8,10,12.936133,77.5187044,1.0
0,4,False,14,8,13,12.9694079,77.7006346,1.0
1,14,False,20,8,2,12.9849833,77.5883633,1.0
1,14,False,36,8,22,13.0127301,77.5545135,1.0
1,11,False,50,8,11,12.9842019,77.7336286,0.0
1,14,True,12,8,11,13.2644465,77.7187627,0.0
1,14,False,35,8,11,12.9848257,77.7527586,0.0
1,13,False,20,8,2,12.9932986,77.5837571,1.0
1,13,False,20,8,2,12.9937523,77.5842482,1.0
1,13,False,20,8,2,12.9938868,77.5841876,1.0
1,14,False,14,8,12,12.9368467,77.6928653,1.0
1,13,True,36,8,11,13.0126766,77.5581246,0.0
1,14,False,26,8,11,12.9513113,77.4994888,0.0
1,14,False,39,8,11,13.0160964,77.5068555,0.0
1,7,False,45,8,4,12.9807501,77.6028238,1.0
1,13,False,22,8,11,12.9165983,77.583705,0.0
1,7,False,19,8,20,13.0198619,77.6562235,1.0
1,7,False,19,8,14,13.0191848,77.6555127,1.0
1,14,False,49,8,22,12.9740913,77.5452252,1.0
1,14,False,49,8,22,12.9740971,77.5449011,1.0
1,14,False,7,8,11,12.9688926,77.569795,0.0
1,7,False,30,8,9,12.9838737,77.5286068,1.0
1,6,False,6,8,11,12.9595586,77.5162093,0.0
1,14,False,48,8,11,12.9511354,77.5739687,0.0
1,14,False,42,8,11,13.0192138,77.5395595,0.0
1,7,False,22,8,11,12.9161187,77.5856548,0.0
1,14,True,5,8,12,12.9284355,77.6811918,1.0
1,14,False,38,8,11,13.0753282,77.4370383,0.0
1,14,False,12,8,11,13.2673624,77.7195893,0.0
1,6,False,26,8,11,12.9449039,77.4949618,0.0
1,13,False,40,8,11,12.9873133,77.6163481,0.0
0,4,False,14,8,13,12.969418,77.7006526,1.0
1,6,True,7,8,10,12.9613232,77.5644194,1.0
1,6,False,6,8,11,12.959419,77.5165897,0.0
1,7,False,0,8,11,12.9431035,77.6220445,0.0
1,14,False,13,8,11,12.8482637,77.6713737,0.0
1,14,False,1,8,10,12.96672,77.6093294,1.0
1,14,False,3,8,14,13.0253205,77.6400845,1.0
1,14,False,13,8,11,12.8561783,77.6645205,0.0
1,16,False,17,8,10,12.9641056,77.5825203,1.0
1,14,False,34,8,9,12.974757,77.5657216,1.0
1,14,False,17,8,10,12.9640011,77.5836093,1.0
1,14,False,6,8,10,12.9480512,77.5343585,1.0
1,14,False,5,8,12,12.9245654,77.6739287,1.0
1,13,False,41,8,11,13.0078566,77.5920655,0.0
1,13,True,36,8,11,13.0035862,77.5721203,0.0
1,6,False,11,8,5,12.9854129,77.5941024,1.0
1,13,True,24,8,11,12.9272622,77.5806774,0.0
1,13,True,43,8,11,13.0022504,77.5722138,0.0
1,13,True,7,8,10,12.9586724,77.5629452,1.0
1,14,False,18,8,2,13.0369808,77.5895122,1.0
1,14,False,24,8,11,12.9169077,77.5737827,0.0
1,7,False,22,8,1,12.9047066,77.6016042,1.0
1,7,False,22,8,1,12.9047995,77.6017019,1.0
1,16,False,49,8,22,12.9774707,77.5457303,1.0
1,7,False,22,8,1,12.904781,77.6015741,1.0
1,14,False,2,8,16,12.9238693,77.5536044,1.0
1,6,False,1,8,11,12.9585656,77.5932824,0.0
1,13,False,7,8,10,12.9601533,77.5633429,1.0
1,13,False,7,8,11,12.9578001,77.5631189,0.0
1,14,False,10,8,11,12.95836,77.5776317,0.0
1,7,False,33,7,12,12.9187567,77.621505,1.0
1,4,False,18,8,2,13.0331905,77.5901915,1.0
1,14,True,0,8,11,12.9360494,77.6154975,0.0
1,16,False,16,8,18,12.9784088,77.6285392,1.0
1,7,False,45,8,11,12.9873237,77.6037885,0.0
